,index_x,movie,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross,index_y,character,voice-actor
0,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,80,Bashful,Scotty Mattraw
1,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,237,Doc,Roy Atwell
2,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,248,Dopey,Eddie Collins
3,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,382,Grumpy,Pinto Colvig
4,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,389,Happy,Otis Harlan
5,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,412,Humbert the Huntsman,Stuart Buchanan
6,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,534,The Magic Mirror,Moroni Olsen
7,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,696,Prince,Harry Stockwell
8,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,724,Queen Grimhilde,Lucille La Verne
9,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,802,Sleepy,Pinto Colvig
10,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,806,Sneezy,Billy Gilbert
11,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,807,Snow White,Adriana Caselotti
12,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,112,Blue Fairy,Evelyn Venable
14,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,191,The Coachman,Charles Judels
15,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,313,Figaro the Cat,Mel Blanc
16,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,355,Geppetto,Christian Rub
17,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,357,Gideon,Mel Blanc
18,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,424,J. Worthington Foulfellow,Walter Catlett
19,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,440,Jiminy Cricket,Cliff Edwards; Eddie Carroll
20,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,494,Lampwick,Frankie Darro
21,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,588,Monstro,Thurl Ravenscroft
22,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,684,Pinocchio,Dickie Jones
23,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,819,Stromboli,Charles Judels
24,2,Fantasia,1940-11-13,Musical,G,83320000.0,2187090808.0,90,Ben Ali Gator,Jim Cummings
25,2,Fantasia,1940-11-13,Musical,G,83320000.0,2187090808.0,167,Chernabog,Corey Burton
26,2,Fantasia,1940-11-13,Musical,G,83320000.0,2187090808.0,414,Hyacinth Hippo,Tress MacNeille
27,2,Fantasia,1940-11-13,Musical,G,83320000.0,2187090808.0,530,Madame Upanova,Tress MacNeille
29,2,Fantasia,1940-11-13,Musical,G,83320000.0,2187090808.0,924,Yen Sid,Corey Burton
30,3,Song of the South,1946-11-12,Adventure,G,65000000.0,1078510579.0,123,Br'er Bear,Nick Stewart
31,3,Song of the South,1946-11-12,Adventure,G,65000000.0,1078510579.0,124,Br'er Fox,James Baskett
32,3,Song of the South,1946-11-12,Adventure,G,65000000.0,1078510579.0,125,Br'er Rabbit,Johnny Lee
33,4,Cinderella,1950-02-15,Drama,G,85000000.0,920608730.0,24,Anastasia Tremaine,Lucille Bliss
34,4,Cinderella,1950-02-15,Drama,G,85000000.0,920608730.0,127,Bruno the Dog,Jimmy MacDonald; Frank Welker
35,4,Cinderella,1950-02-15,Drama,G,85000000.0,920608730.0,179,Cinderella,Ilene Woods
36,4,Cinderella,1950-02-15,Drama,G,85000000.0,920608730.0,247,The Doorman,Don Barclay
37,4,Cinderella,1950-02-15,Drama,G,85000000.0,920608730.0,262,Drizella Tremaine,Rhoda Williams; Russi Taylor
38,4,Cinderella,1950-02-15,Drama,G,85000000.0,920608730.0,293,Fairy Godmother,Verna Felton; Russi Taylor
39,4,Cinderella,1950-02-15,Drama,G,85000000.0,920608730.0,330,Footman,Larry Grey
40,4,Cinderella,1950-02-15,Drama,G,85000000.0,920608730.0,373,The Grand Duke,Luis Van Rooten; Rob Paulsen
41,4,Cinderella,1950-02-15,Drama,G,85000000.0,920608730.0,384,Gus Lollygagger,Jimmy MacDonald; Corey Burton
42,4,Cinderella,1950-02-15,Drama,G,85000000.0,920608730.0,426,"Jackson ""Jaq"" Hopscotch",Jimmy MacDonald; Rob Paulsen
43,4,Cinderella,1950-02-15,Drama,G,85000000.0,920608730.0,465,The King,Luis Van Rooten
44,4,Cinderella,1950-02-15,Drama,G,85000000.0,920608730.0,492,Lady Tremaine,Eleanor Audley; Susanne Blakeslee
45,4,Cinderella,1950-02-15,Drama,G,85000000.0,920608730.0,516,Lucifer the Cat,June Foray
47,4,Cinderella,1950-02-15,Drama,G,85000000.0,920608730.0,697,Prince Charming,William Phipps
48,556,Cinderella,2015-03-13,Drama,PG,201151353.0,201151353.0,24,Anastasia Tremaine,Lucille Bliss
49,556,Cinderella,2015-03-13,Drama,PG,201151353.0,201151353.0,127,Bruno the Dog,Jimmy MacDonald; Frank Welker
50,556,Cinderella,2015-03-13,Drama,PG,201151353.0,201151353.0,179,Cinderella,Ilene Woods
51,556,Cinderella,2015-03-13,Drama,PG,201151353.0,201151353.0,247,The Doorman,Don Barclay
52,556,Cinderella,2015-03-13,Drama,PG,201151353.0,201151353.0,262,Drizella Tremaine,Rhoda Williams; Russi Taylor
53,556,Cinderella,2015-03-13,Drama,PG,201151353.0,201151353.0,293,Fairy Godmother,Verna Felton; Russi Taylor
54,556,Cinderella,2015-03-13,Drama,PG,201151353.0,201151353.0,330,Footman,Larry Grey
55,556,Cinderella,2015-03-13,Drama,PG,201151353.0,201151353.0,373,The Grand Duke,Luis Van Rooten; Rob Paulsen
56,556,Cinderella,2015-03-13,Drama,PG,201151353.0,201151353.0,384,Gus Lollygagger,Jimmy MacDonald; Corey Burton
57,556,Cinderella,2015-03-13,Drama,PG,201151353.0,201151353.0,426,"Jackson ""Jaq"" Hopscotch",Jimmy MacDonald; Rob Paulsen
58,556,Cinderella,2015-03-13,Drama,PG,201151353.0,201151353.0,465,The King,Luis Van Rooten
59,556,Cinderella,2015-03-13,Drama,PG,201151353.0,201151353.0,492,Lady Tremaine,Eleanor Audley; Susanne Blakeslee
60,556,Cinderella,2015-03-13,Drama,PG,201151353.0,201151353.0,516,Lucifer the Cat,June Foray
62,556,Cinderella,2015-03-13,Drama,PG,201151353.0,201151353.0,697,Prince Charming,William Phipps
63,6,Lady and the Tramp,1955-06-22,Drama,G,93600000.0,1236035515.0,11,Al the Alligator,Thurl Ravenscroft
64,6,Lady and the Tramp,1955-06-22,Drama,G,93600000.0,1236035515.0,53,Aunt Sarah,Verna Felton
65,6,Lady and the Tramp,1955-06-22,Drama,G,93600000.0,1236035515.0,86,Beaver,Stan Freberg
66,6,Lady and the Tramp,1955-06-22,Drama,G,93600000.0,1236035515.0,218,Darling,Peggy Lee
67,6,Lady and the Tramp,1955-06-22,Drama,G,93600000.0,1236035515.0,438,Jim Dear,Lee Millar
68,6,Lady and the Tramp,1955-06-22,Drama,G,93600000.0,1236035515.0,442,Jock,Bill Thompson
69,6,Lady and the Tramp,1955-06-22,Drama,G,93600000.0,1236035515.0,488,Lady,Barbara Luddy
70,6,Lady and the Tramp,1955-06-22,Drama,G,93600000.0,1236035515.0,663,Peg,Peggy Lee
71,6,Lady and the Tramp,1955-06-22,Drama,G,93600000.0,1236035515.0,790,Si & Am,Peggy Lee
72,6,Lady and the Tramp,1955-06-22,Drama,G,93600000.0,1236035515.0,873,Tramp,Larry Roberts
73,6,Lady and the Tramp,1955-06-22,Drama,G,93600000.0,1236035515.0,875,Trusty,Bill Baucom
74,7,Sleeping Beauty,1959-01-29,Drama,,9464608.0,21505832.0,56,Aurora,Mary Costa
76,7,Sleeping Beauty,1959-01-29,Drama,,9464608.0,21505832.0,300,Fauna,Barbara Jo Allen
77,7,Sleeping Beauty,1959-01-29,Drama,,9464608.0,21505832.0,324,Flora,Verna Felton
78,7,Sleeping Beauty,1959-01-29,Drama,,9464608.0,21505832.0,469,King Hubert,Bill Thompson
79,7,Sleeping Beauty,1959-01-29,Drama,,9464608.0,21505832.0,475,King Stefan,Taylor Holmes
80,7,Sleeping Beauty,1959-01-29,Drama,,9464608.0,21505832.0,539,Maleficent,Eleanor Audley
81,7,Sleeping Beauty,1959-01-29,Drama,,9464608.0,21505832.0,570,Merryweather,Barbara Luddy
82,7,Sleeping Beauty,1959-01-29,Drama,,9464608.0,21505832.0,704,Prince Phillip,Bill Shirley
83,7,Sleeping Beauty,1959-01-29,Drama,,9464608.0,21505832.0,725,Queen Leah,Barbara Dirikson
84,8,101 Dalmatians,1961-01-25,Comedy,G,153000000.0,1362870985.0,30,Anita Radcliffe,Lisa Davis
85,8,101 Dalmatians,1961-01-25,Comedy,G,153000000.0,1362870985.0,197,The Colonel,J. Pat O'Malley
86,8,101 Dalmatians,1961-01-25,Comedy,G,153000000.0,1362870985.0,208,Cruella de Vil,Betty Lou Gerson
87,8,101 Dalmatians,1961-01-25,Comedy,G,153000000.0,1362870985.0,407,Horace & Jasper,Frederick Worlock; J. Pat O'Malley
88,8,101 Dalmatians,1961-01-25,Comedy,G,153000000.0,1362870985.0,674,Perdita,Cate Bauer
89,8,101 Dalmatians,1961-01-25,Comedy,G,153000000.0,1362870985.0,692,Pongo,Rod Taylor
90,8,101 Dalmatians,1961-01-25,Comedy,G,153000000.0,1362870985.0,749,Roger Radcliffe,Ben Wright
91,8,101 Dalmatians,1961-01-25,Comedy,G,153000000.0,1362870985.0,782,Sgt. Tibbs,David Frankham
92,252,101 Dalmatians,1996-11-27,Comedy,G,136189294.0,258728898.0,30,Anita Radcliffe,Lisa Davis
93,252,101 Dalmatians,1996-11-27,Comedy,G,136189294.0,258728898.0,197,The Colonel,J. Pat O'Malley
94,252,101 Dalmatians,1996-11-27,Comedy,G,136189294.0,258728898.0,208,Cruella de Vil,Betty Lou Gerson
95,252,101 Dalmatians,1996-11-27,Comedy,G,136189294.0,258728898.0,407,Horace & Jasper,Frederick Worlock; J. Pat O'Malley
96,252,101 Dalmatians,1996-11-27,Comedy,G,136189294.0,258728898.0,674,Perdita,Cate Bauer
97,252,101 Dalmatians,1996-11-27,Comedy,G,136189294.0,258728898.0,692,Pongo,Rod Taylor
98,252,101 Dalmatians,1996-11-27,Comedy,G,136189294.0,258728898.0,749,Roger Radcliffe,Ben Wright
99,252,101 Dalmatians,1996-11-27,Comedy,G,136189294.0,258728898.0,782,Sgt. Tibbs,David Frankham
100,12,The Sword in the Stone,1963-12-25,Adventure,,22182353.0,153870834.0,39,Archimedes,Junius Matthews
101,12,The Sword in the Stone,1963-12-25,Adventure,,22182353.0,153870834.0,43,Arthur/Wart,Rickie Sorensen
102,12,The Sword in the Stone,1963-12-25,Adventure,,22182353.0,153870834.0,44,Arthur/Wart,Richard Reitherman
103,12,The Sword in the Stone,1963-12-25,Adventure,,22182353.0,153870834.0,45,Arthur/Wart,Robert Reitherman
104,12,The Sword in the Stone,1963-12-25,Adventure,,22182353.0,153870834.0,109,Black Bart,Thurl Ravenscroft
105,12,The Sword in the Stone,1963-12-25,Adventure,,22182353.0,153870834.0,529,Madam Mim,Martha Wentworth
106,12,The Sword in the Stone,1963-12-25,Adventure,,22182353.0,153870834.0,568,Merlin,Karl Swenson
107,12,The Sword in the Stone,1963-12-25,Adventure,,22182353.0,153870834.0,794,Sir Ector,Sebastian Cabot
108,12,The Sword in the Stone,1963-12-25,Adventure,,22182353.0,153870834.0,797,Sir Kay,Norman Alden
109,12,The Sword in the Stone,1963-12-25,Adventure,,22182353.0,153870834.0,798,Sir Pellinore,Alan Napier
110,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0,10,Akela,John Abbott
111,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0,67,Bagheera,Sebastian Cabot
112,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0,72,Baloo Bear,Phil Harris
113,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0,140,Buzzie the Vulture,J. Pat O'Malley
114,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0,198,Colonel Hathi,J. Pat O'Malley
115,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0,235,Dizzie the Vulture,Lord Tim Hudson
116,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0,299,Father Wolf,Ben Wright
117,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0,320,Flaps the Vulture,Chad Stuart
118,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0,328,Flunkey the Baboon,Leo De Lyon
119,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0,454,Junior,Clint Howard
120,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0,456,Kaa,Sterling Holloway; Jim Cummings
121,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0,472,King Louie,Louis Prima
122,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0,599,Mowgli,Bruce Reitherman
123,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0,784,Shanti (The Girl),Darleen Carr
124,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0,787,Shere Khan,George Sanders
125,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0,911,Winifred the Elephant,Verna Felton
126,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0,931,Ziggy the Vulture,Digby Wolfe
127,194,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0,10,Akela,John Abbott
128,194,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0,67,Bagheera,Sebastian Cabot
129,194,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0,72,Baloo Bear,Phil Harris
130,194,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0,140,Buzzie the Vulture,J. Pat O'Malley
131,194,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0,198,Colonel Hathi,J. Pat O'Malley
132,194,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0,235,Dizzie the Vulture,Lord Tim Hudson
133,194,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0,299,Father Wolf,Ben Wright
134,194,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0,320,Flaps the Vulture,Chad Stuart
135,194,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0,328,Flunkey the Baboon,Leo De Lyon
136,194,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0,454,Junior,Clint Howard
137,194,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0,456,Kaa,Sterling Holloway; Jim Cummings
138,194,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0,472,King Louie,Louis Prima
139,194,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0,599,Mowgli,Bruce Reitherman
140,194,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0,784,Shanti (The Girl),Darleen Carr
141,194,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0,787,Shere Khan,George Sanders
142,194,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0,911,Winifred the Elephant,Verna Felton
143,194,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0,931,Ziggy the Vulture,Digby Wolfe
144,567,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0,10,Akela,John Abbott
145,567,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0,67,Bagheera,Sebastian Cabot
146,567,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0,72,Baloo Bear,Phil Harris
147,567,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0,140,Buzzie the Vulture,J. Pat O'Malley
148,567,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0,198,Colonel Hathi,J. Pat O'Malley
149,567,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0,235,Dizzie the Vulture,Lord Tim Hudson
150,567,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0,299,Father Wolf,Ben Wright
151,567,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0,320,Flaps the Vulture,Chad Stuart
152,567,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0,328,Flunkey the Baboon,Leo De Lyon
153,567,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0,454,Junior,Clint Howard
154,567,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0,456,Kaa,Sterling Holloway; Jim Cummings
155,567,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0,472,King Louie,Louis Prima
156,567,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0,599,Mowgli,Bruce Reitherman
157,567,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0,784,Shanti (The Girl),Darleen Carr
158,567,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0,787,Shere Khan,George Sanders
159,567,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0,911,Winifred the Elephant,Verna Felton
160,567,The Jungle Book,2016-04-15,Adventure,PG,364001123.0,364001123.0,931,Ziggy the Vulture,Digby Wolfe
161,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,1,Abigail Gabble,Monica Evans
162,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,21,Amelia Gabble,Carole Shelley
163,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,97,Berlioz,Dean Clark
164,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,104,Billy Boss,Thurl Ravenscroft
165,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,263,Duchess,Eva Gabor
166,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,272,Edgar Balthazar the Butler,Roddy Maude-Roxby
167,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,343,Frou-Frou,Nancy Kulp
168,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,353,Georges Hautecourt,Charles Lane
169,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,403,Hit Cat the English Cat,Lord Tim Hudson
170,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,493,Lafayette the Basset Hound,George Lindsey
171,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,527,Madame Adelaide Bonfamille,Hermione Baddeley
172,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,545,Marie,Liz English
173,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,629,Napoleon the Bloodhound,Pat Buttram
174,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,671,Peppo the Italian Cat,Vito Scotti
175,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,754,Roquefort the Mouse,Sterling Holloway
176,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,774,Scat Cat,Scatman Crothers
177,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,789,Shun Gon the Chinese Cat,Paul Winchell
178,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,847,Thomas O'Malley,Phil Harris
179,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,872,Toulouse,Gary Dubin
180,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0,884,Uncle Waldo,Bill Thompson
181,17,Bedknobs and Broomsticks,1971-10-07,Musical,,17871174.0,91305448.0,83,Bear,Dal McKennon
182,17,Bedknobs and Broomsticks,1971-10-07,Musical,,17871174.0,91305448.0,193,Codfish,Robert Holt
183,17,Bedknobs and Broomsticks,1971-10-07,Musical,,17871174.0,91305448.0,471,King Leonidas,Lennie Weinrib
184,17,Bedknobs and Broomsticks,1971-10-07,Musical,,17871174.0,91305448.0,780,Secretary Bird,Lennie Weinrib
185,21,The Rescuers,1977-06-22,Adventure,,48775599.0,159743914.0,98,Bernard,Bob Newheart
186,21,The Rescuers,1977-06-22,Adventure,,48775599.0,159743914.0,129,Brutus and Nero,Candy Candido
187,21,The Rescuers,1977-06-22,Adventure,,48775599.0,159743914.0,161,Chair Mouse,Bernard Fox
188,21,The Rescuers,1977-06-22,Adventure,,48775599.0,159743914.0,228,Digger the Mole,Dub Taylor
189,21,The Rescuers,1977-06-22,Adventure,,48775599.0,159743914.0,279,Ellie Mae,Jeanette Nolan
190,21,The Rescuers,1977-06-22,Adventure,,48775599.0,159743914.0,289,Evinrude,Jimmy MacDonald
191,21,The Rescuers,1977-06-22,Adventure,,48775599.0,159743914.0,371,Gramps,Larry Clemmons
192,21,The Rescuers,1977-06-22,Adventure,,48775599.0,159743914.0,521,Luke,Pat Buttram
193,21,The Rescuers,1977-06-22,Adventure,,48775599.0,159743914.0,528,Madame Medusa,Geraldine Page
194,21,The Rescuers,1977-06-22,Adventure,,48775599.0,159743914.0,581,Miss Bianca,Eva Gabor
195,21,The Rescuers,1977-06-22,Adventure,,48775599.0,159743914.0,605,Mr. Snoops,Joe Flynn
196,21,The Rescuers,1977-06-22,Adventure,,48775599.0,159743914.0,652,Orville,Jim Jordan
197,21,The Rescuers,1977-06-22,Adventure,,48775599.0,159743914.0,668,Penny,Michelle Stacy
198,21,The Rescuers,1977-06-22,Adventure,,48775599.0,159743914.0,760,Rufus,John McIntire
199,28,The Fox and the Hound,1981-07-10,Comedy,,43899231.0,133118889.0,22,Amos Slade,Jack Albertson
200,28,The Fox and the Hound,1981-07-10,Comedy,,43899231.0,133118889.0,101,Big Mama,Pearl Bailey
201,28,The Fox and the Hound,1981-07-10,Comedy,,43899231.0,133118889.0,118,Boomer,Paul Winchell
202,28,The Fox and the Hound,1981-07-10,Comedy,,43899231.0,133118889.0,172,Chief,Pat Buttram
203,28,The Fox and the Hound,1981-07-10,Comedy,,43899231.0,133118889.0,201,Copper,Corey Feldman; Kurt Russell
204,28,The Fox and the Hound,1981-07-10,Comedy,,43899231.0,133118889.0,232,Dinky,Richard Bakalyan
206,28,The Fox and the Hound,1981-07-10,Comedy,,43899231.0,133118889.0,869,Tod,Keith Coogan; Mickey Rooney
207,28,The Fox and the Hound,1981-07-10,Comedy,,43899231.0,133118889.0,894,Vixey,Sandy Duncan
208,28,The Fox and the Hound,1981-07-10,Comedy,,43899231.0,133118889.0,905,Widow Tweed,Jeanette Nolan
209,41,The Black Cauldron,1985-07-24,Adventure,,21288692.0,50553142.0,205,Creeper,Phil Fondacaro
